cp,artist,song,section,spotify_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cp_length,genres
"4,1,6",clean bandit,rather be,intro,3s4U7OHV7gnj42VV72eSZ6,0.799,0.586,11.0,-6.735,1.0,0.0377,0.162,2.03e-06,0.193,0.5489999999999999,120.97,227833.0,4.0,3,"['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house', 'uk funky']"
"4,1,6",rush,red barchetta,verse,6UGHk2cmbDC1oidVjXcCKo,0.528,0.9209999999999999,2.0,-7.64,1.0,0.0524,0.0174,0.00018600000000000002,0.0472,0.298,144.368,370427.0,4.0,3,"['album rock', 'art rock', 'canadian metal', 'classic canadian rock', 'classic rock', 'hard rock', 'metal', 'progressive rock', 'rock', 'symphonic rock']"
"4,1,6",natasha bedingfield,unwritten,pre-chorus and chorus,1D1nixOVWOxvNfWi0UD7VX,0.706,0.8009999999999999,5.0,-6.332999999999999,1.0,0.0399,0.00577,0.0,0.0822,0.63,100.01299999999999,259333.0,4.0,3,"['dance pop', 'europop', 'folk-pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'r&b']"
"4,1,6",sam smith,leave your lover,chorus,3b5LW3nS3WFQyS1e8ajGJN,0.415,0.264,4.0,-8.741,1.0,0.0475,0.948,6.31e-06,0.106,0.35700000000000004,92.87899999999999,188377.0,5.0,3,['pop']
"4,1,6",kt tunstall,suddenly i see,chorus,5p9XWUdvbUzmPCukOmwoU3,0.5870000000000001,0.767,0.0,-5.712999999999999,1.0,0.0449,0.225,0.0,0.11199999999999999,0.664,100.38,201707.0,4.0,3,"['folk-pop', 'lilith', 'neo mellow', 'pop rock', 'scottish singer-songwriter']"
"4,1,6",the muppets,rainbow connection,verse,1SJ4ycWow4yz6z4oFz8NAG,0.526,0.413,9.0,-7.6739999999999995,1.0,0.0278,0.428,0.0,0.126,0.21100000000000002,115.936,188933.0,3.0,3,"[""children's music""]"
"4,1,6",bent van looy,flowers and balloons,outro 2,3Tqj653ZHVVQrIUKjeNkB8,0.498,0.33299999999999996,10.0,-9.036,1.0,0.031,0.748,0.0032600000000000003,0.0823,0.596,104.585,208440.0,4.0,3,"['belgian pop', 'dutch indie']"
"4,1,6",weezer,say it ain't so,verse,4YPhn26bIFm2KUkL1VLzQG,0.635,0.435,3.0,-7.521,1.0,0.031,0.00328,6.78e-06,0.071,0.45899999999999996,76.098,256880.0,4.0,3,"['alternative rock', 'modern rock', 'permanent wave', 'pop punk', 'pop rock', 'post-grunge', 'rock']"
"4,1,6",weezer,say it ain't so,chorus,4YPhn26bIFm2KUkL1VLzQG,0.635,0.435,3.0,-7.521,1.0,0.031,0.00328,6.78e-06,0.071,0.45899999999999996,76.098,256880.0,4.0,3,"['alternative rock', 'modern rock', 'permanent wave', 'pop punk', 'pop rock', 'post-grunge', 'rock']"
"4,1,6",one direction,rock me,verse,7MbII8jWqFiTFYU3MPYEfW,0.503,0.917,8.0,-3.595,1.0,0.055,0.0354,0.0,0.28,0.79,168.018,200040.0,4.0,3,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'talent show']"
"4,1,6",red velvet,cool world,pre-chorus and chorus,1VfZX787b6l88hpvOXcSXp,0.747,0.941,9.0,-2.867,1.0,0.133,0.0876,0.0,0.0438,0.525,115.00200000000001,245589.0,4.0,3,['k-pop']
"4,1,6",guster,hang on,chorus,0TqhnQZzO9cRziFFie3fb5,0.413,0.736,0.0,-7.537999999999999,1.0,0.0376,0.00298,0.000982,0.0607,0.245,151.488,272600.0,4.0,3,"['boston rock', 'indie folk', 'indie pop', 'modern rock', 'neo mellow', 'pop rock']"
"4,1,6",judy garland,over the rainbow,chorus,2PwYIEV1H34mbQBvbnnmLx,0.231,0.0426,8.0,-21.141,1.0,0.0426,0.9009999999999999,0.000136,0.153,0.19899999999999998,77.74,166467.0,4.0,3,"['adult standards', 'christmas', 'hollywood', 'lounge', 'show tunes', 'vocal jazz']"
"4,1,6",covesthur,dayresponse,chorus,2PeDIe8OPjeinZMULmwBSF,0.6659999999999999,0.589,3.0,-8.584,1.0,0.025,0.151,0.0413,0.114,0.408,127.949,205949.0,4.0,3,[]
"4,1,6",ruth b,lost boy,chorus,4h0zU3O9R5xzuTmNO7dNDU,0.71,0.0565,7.0,-15.099,1.0,0.0534,0.965,0.0,0.0889,0.348,123.994,275280.0,4.0,3,"['dance pop', 'indie cafe pop', 'pop', 'post-teen pop', 'viral pop']"
"4,5,6",diana ross,if we hold on together,chorus,5ygPz0KLBbndd8kSx79W0e,0.35100000000000003,0.21600000000000003,0.0,-15.258,1.0,0.0273,0.5670000000000001,2.02e-05,0.11800000000000001,0.115,141.70600000000002,250267.0,4.0,3,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soul']"
"4,5,6",elvis presley,can't help falling in love,chorus,5bsDnCnUSsAcQNGbKqeFau,0.327,0.23800000000000002,2.0,-9.735,1.0,0.0317,0.9259999999999999,0.253,0.102,0.153,77.392,168000.0,3.0,3,"['adult standards', 'christmas', 'rock-and-roll', 'rockabilly']"
"4,5,6",elvis presley,i can't help falling in love,chorus,56YIV02Z9OyHYcnUiuPSAi,0.413,0.214,7.0,-15.487,1.0,0.0434,0.856,0.907,0.08800000000000001,0.102,133.07299999999998,378547.0,4.0,3,[]
"4,5,6",katy perry,california gurls,chorus,6tS3XVuOyu10897O3ae7bi,0.7909999999999999,0.754,0.0,-3.7289999999999996,1.0,0.0569,0.00446,0.0,0.163,0.425,125.014,234653.0,4.0,3,"['dance pop', 'pop', 'post-teen pop']"
"4,5,6",katy perry,california gurls,verse,6tS3XVuOyu10897O3ae7bi,0.7909999999999999,0.754,0.0,-3.7289999999999996,1.0,0.0569,0.00446,0.0,0.163,0.425,125.014,234653.0,4.0,3,"['dance pop', 'pop', 'post-teen pop']"
"4,5,6",rihanna,unfaithful,pre-chorus,13xxBnXOuiBxVxJI458B0i,0.588,0.391,0.0,-8.607000000000001,0.0,0.0334,0.8390000000000001,0.0,0.22699999999999998,0.349,144.069,226973.0,4.0,3,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']"
"4,5,6",sara bareilles,love song,intro,4E6cwWJWZw2zWf7VFbH7wf,0.583,0.7859999999999999,2.0,-3.142,0.0,0.0301,0.0208,0.0,0.188,0.573,123.052,258827.0,4.0,3,"['acoustic pop', 'dance pop', 'folk-pop', 'hollywood', 'lilith', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']"
"4,5,6",linkin park,numb,chorus lead-out,2nLtzopw4rPReszdYBJU6h,0.496,0.863,9.0,-4.1530000000000005,1.0,0.0381,0.0046,0.0,0.639,0.243,110.01799999999999,185587.0,4.0,3,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']"
"4,5,6",gigi d'agostino,the riddle,intro,0ZqveF2rEFlz2oqF2xrriP,0.74,0.8759999999999999,6.0,-6.87,0.0,0.0369,0.0173,0.0015199999999999999,0.0785,0.825,127.00200000000001,285427.0,4.0,3,"['eurodance', 'europop', 'italo dance']"
"4,5,6",martin solveig,the night out - madeon remix,intro,0JUa73C2r5beBMhy9NXX1E,0.488,0.917,8.0,-2.83,0.0,0.0532,0.00066,0.00224,0.142,0.331,127.999,219819.0,4.0,3,"['big room', 'dance pop', 'disco house', 'edm', 'electro house', 'filter house', 'house', 'pop', 'pop rap', 'tropical house', 'vocal house']"
"4,5,6",nikki williams,glowing,chorus,2q2IvYjfidmDUXag3batKZ,0.614,0.805,5.0,-4.041,0.0,0.0478,0.0018399999999999998,0.0,0.11800000000000001,0.365,126.008,248293.0,4.0,3,[]
"4,5,6",wolfgang gartner,the way it was,intro,5mtUNBlTc2eUnNYdPHhbzr,0.723,0.892,2.0,-2.405,1.0,0.307,4.41e-05,0.124,0.13699999999999998,0.42100000000000004,127.99799999999999,345520.0,4.0,3,"['big room', 'brostep', 'complextro', 'edm', 'electro house', 'house', 'progressive electro house', 'progressive house']"
"4,5,6",calvin harris,drinking from the bottle,pre-chorus,1oHxIPqJyvAYHy0PVrDU98,0.665,0.8859999999999999,9.0,-4.175,0.0,0.0514,0.0469,6.24e-05,0.0525,0.53,128.062,240347.0,4.0,3,"['edm', 'electro house', 'house', 'pop', 'progressive house']"
"4,5,6",avicii,dear boy,pre-chorus,4AMDVGnxiXauYQxeT6Cdwv,0.682,0.607,9.0,-5.907,1.0,0.122,0.000278,0.0878,0.304,0.22399999999999998,124.988,479333.0,4.0,3,"['big room', 'dance pop', 'edm', 'pop']"
"4,5,6",bonnie tyler,total eclipse of the heart,chorus,5prTs2HAw2G4idHZyeFp8o,0.435,0.6579999999999999,8.0,-8.179,1.0,0.0661,0.195,0.0,0.102,0.184,130.276,269787.0,4.0,3,"['europop', 'new wave pop', 'soft rock']"
"4,5,6",jimi hendrix,little wing,intro and verse,1Eolhana7nKHYpcYpdVcT5,0.515,0.534,6.0,-8.045,1.0,0.0768,0.18100000000000002,0.00278,0.0547,0.426,70.77600000000001,145747.0,4.0,3,"['album rock', 'blues-rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock']"
"4,5,6",manowar,master of the wind,chorus,2rDIYysZGyx68TWlBdvjqk,0.336,0.121,4.0,-19.282,0.0,0.0341,0.391,0.0,0.0672,0.0395,119.376,326933.0,4.0,3,"['hard rock', 'metal', 'power metal', 'progressive metal', 'rock', 'speed metal', 'thrash metal']"
"4,5,6",luke bryan,crash my party,pre-chorus,6GBUsjHfZuweYf5lQEz6mP,0.526,0.823,7.0,-4.03,1.0,0.0431,0.0309,0.0,0.24600000000000002,0.435,144.09,234760.0,4.0,3,"['contemporary country', 'country', 'country road']"
"4,5,6",daft punk,aerodynamic,outro,3H3cOQ6LBLSvmcaV7QkZEu,0.624,0.9109999999999999,7.0,-7.482,1.0,0.0524,0.32799999999999996,0.861,0.0727,0.135,122.902,212547.0,4.0,3,"['electro', 'electronic', 'filter house']"
"4,5,6",killswitch engage,in due time,verse,1HlOGL1p6wlpOZatJ2NwFk,0.486,0.9590000000000001,0.0,-3.8569999999999998,0.0,0.0485,0.00020299999999999997,0.0259,0.17300000000000001,0.527,84.99700000000001,197573.0,4.0,3,"['alternative metal', 'boston metal', 'groove metal', 'melodic metalcore', 'metalcore', 'nu metal', 'post-grunge', 'rap rock']"
"4,5,6",tristam,till it's over,verse,0E1RL6rKe18aUq70B2fgXs,0.61,0.836,7.0,-6.428,0.0,0.08900000000000001,0.12300000000000001,0.0,0.16399999999999998,0.32899999999999996,110.025,270545.0,4.0,3,"['brostep', 'catstep', 'chillstep', 'complextro', 'edm', 'electro house', 'tracestep']"
"4,5,6",linkin park,what i've done,chorus,18lR4BzEs7e3qzc0KVkTpU,0.623,0.93,5.0,-5.285,1.0,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,205613.0,4.0,3,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']"
"4,5,6",lana del rey,west coast,chorus,5Y6nVaayzitvsD5F7nr3DV,0.527,0.591,6.0,-7.664,0.0,0.0396,0.19399999999999998,0.0194,0.0907,0.461,123.167,256760.0,4.0,3,['pop']
"4,5,6",skrillex,summit,instrumental,1SbqxemPdwGlvmirtQVkCU,0.6920000000000001,0.773,6.0,-3.739,1.0,0.0359,0.226,0.0104,0.10800000000000001,0.486,139.989,373987.0,4.0,3,"['brostep', 'complextro', 'edm', 'electro']"
"4,5,6",vanessa hudgens,when there was me and you - high school musical,solo 1,1LxcCsgkHJTcUZ7AUorzd2,0.527,0.753,9.0,-5.4910000000000005,1.0,0.0383,0.0494,0.00108,0.0997,0.278,119.824,180440.0,4.0,3,"['dance pop', 'hollywood', 'post-teen pop']"
"4,5,6",ponderosa twins plus one,bound,chorus,45Ic9eSdGIvQpkk7JidSGu,0.45799999999999996,0.54,5.0,-6.457000000000001,0.0,0.027000000000000003,0.715,0.00042800000000000005,0.115,0.657,142.218,191205.0,4.0,3,[]
"4,5,6",nora en pure,sweet melody,instrumental,79R5oMVwp6OXSTlfQPQPEA,0.7340000000000001,0.763,10.0,-5.212000000000001,0.0,0.0461,0.0183,0.9,0.371,0.414,120.024,445250.0,4.0,3,"['deep house', 'deep tropical house', 'edm', 'electra', 'groove room', 'house', 'progressive house', 'tropical house']"
"4,5,6",chris de burgh,lady in red,pre-chorus and chorus,1GeNWyZtCHbcp3ZWp8GTOO,0.5479999999999999,0.294,10.0,-17.112000000000002,1.0,0.0333,0.332,3.34e-06,0.0392,0.491,76.69800000000001,256173.0,4.0,3,"['mellow gold', 'new wave pop', 'soft rock']"
"4,5,6",archie feat brenton mattheus,kingdom,intro,0cV9YyAgJ77hYuiyAWe2io,0.6759999999999999,0.84,5.0,-8.158999999999999,0.0,0.0592,0.0274,0.0581,0.0796,0.0618,127.98700000000001,427640.0,4.0,3,['tracestep']
"4,5,6",archie feat brenton mattheus,kingdom,intro,0cV9YyAgJ77hYuiyAWe2io,0.6759999999999999,0.84,5.0,-8.158999999999999,0.0,0.0592,0.0274,0.0581,0.0796,0.0618,127.98700000000001,427640.0,4.0,3,['tracestep']
"4,5,6",madonna,hung up,chorus,3850dYVgOFIXJh5U4BFEWH,0.649,0.647,9.0,-7.695,0.0,0.0452,0.0039,0.161,0.0686,0.405,125.02,337733.0,4.0,3,"['dance pop', 'pop', 'pop rock']"
"4,5,6",madonna,hung up,instrumental,3850dYVgOFIXJh5U4BFEWH,0.649,0.647,9.0,-7.695,0.0,0.0452,0.0039,0.161,0.0686,0.405,125.02,337733.0,4.0,3,"['dance pop', 'pop', 'pop rock']"
"4,5,6",they might be giants,experimental film,verse,4Q9fKe4b63AzmCRf5YtZdc,0.581,0.6629999999999999,7.0,-5.127999999999999,1.0,0.0313,0.005679999999999999,0.0,0.0688,0.757,132.861,176880.0,4.0,3,"['alternative rock', 'comic', 'geek rock', 'permanent wave', 'pop rock', 'zolo']"
"4,5,6",rundfunk,turn around,verse,0zY3dBKGFpwUaRsbuH6K6H,0.708,0.883,9.0,-3.464,1.0,0.0686,0.0006,0.857,0.115,0.667,129.997,194864.0,4.0,3,['catstep']
"4,5,6",rundfunk,turn around,pre-chorus,0zY3dBKGFpwUaRsbuH6K6H,0.708,0.883,9.0,-3.464,1.0,0.0686,0.0006,0.857,0.115,0.667,129.997,194864.0,4.0,3,['catstep']
"4,5,6",tristam,till it's over,intro,0E1RL6rKe18aUq70B2fgXs,0.61,0.836,7.0,-6.428,0.0,0.08900000000000001,0.12300000000000001,0.0,0.16399999999999998,0.32899999999999996,110.025,270545.0,4.0,3,"['brostep', 'catstep', 'chillstep', 'complextro', 'edm', 'electro house', 'tracestep']"
"4,5,6",the presets,promises,chorus,6PlZKqiYE7T0J4xFjxY8qm,0.33399999999999996,0.522,1.0,-14.241,1.0,0.0361,0.895,0.97,0.105,0.0571,92.22399999999999,250218.0,4.0,3,"['alternative dance', 'australian dance', 'australian indie', 'dance-punk', 'electronic', 'indietronica', 'new rave']"
"4,5,6",katy perry,california gurls,intro,6tS3XVuOyu10897O3ae7bi,0.7909999999999999,0.754,0.0,-3.7289999999999996,1.0,0.0569,0.00446,0.0,0.163,0.425,125.014,234653.0,4.0,3,"['dance pop', 'pop', 'post-teen pop']"
"4,5,6",roine stolt,humanizzimo,intro,1kkfa7dP8qOWPJCKUQwg9C,0.331,0.657,6.0,-7.3839999999999995,0.0,0.0412,0.419,0.0962,0.102,0.201,116.84200000000001,1253640.0,4.0,3,"['neo-progressive', 'progressive rock', 'symphonic rock']"
"4,5,6",sebjak,follow me,chorus,2xqJTs6q6cFDVDAatWhPzT,0.603,0.9740000000000001,4.0,-1.4409999999999998,0.0,0.0353,0.0201,0.0074,0.18600000000000003,0.518,125.022,223200.0,4.0,3,"['big room', 'progressive electro house']"
"4,5,6",frost,no me no you,chorus,0wNIwcGcHDT1NSkkh68z0m,0.239,0.879,6.0,-7.147,1.0,0.0937,0.000455,0.0069700000000000005,0.405,0.423,170.024,366147.0,3.0,3,"['neo-progressive', 'progressive metal', 'progressive rock', 'symphonic rock']"
"4,5,6",porcupine tree,buying new soul,chorus,1sxOHYW1CNc5KgFAzEMR8x,0.24,0.19699999999999998,2.0,-15.264000000000001,0.0,0.0335,0.596,0.203,0.12,0.0472,91.835,625627.0,3.0,3,"['art rock', 'progressive metal', 'progressive rock', 'symphonic rock']"
"4,5,6",infected mushroom,muse breaks,chorus,2F15XyWBzhrRTBaqTl769U,0.677,0.647,5.0,-6.902,0.0,0.0569,0.0246,0.606,0.09699999999999999,0.27399999999999997,145.995,429027.0,4.0,3,['psychedelic trance']
"4,5,6",infected mushroom,muse breaks,verse,2F15XyWBzhrRTBaqTl769U,0.677,0.647,5.0,-6.902,0.0,0.0569,0.0246,0.606,0.09699999999999999,0.27399999999999997,145.995,429027.0,4.0,3,['psychedelic trance']
"4,5,6",ltn,ordinary people - d-mad remix,chorus,1bjFgSWR6QadbbxiQQ81bh,0.6729999999999999,0.8009999999999999,4.0,-7.5489999999999995,0.0,0.0842,0.000356,0.262,0.0829,0.562,127.971,465000.0,4.0,3,"['progressive house', 'progressive trance', 'progressive trance house', 'progressive uplifting trance', 'trance', 'uplifting trance']"
"4,5,6",chipzel,courtesy,chorus,5L85RFbWkbVnDXqNVhz7XW,0.7140000000000001,0.736,8.0,-11.780999999999999,1.0,0.0587,0.031,2.61e-05,0.0709,0.337,130.012,193333.0,4.0,3,"['chiptune', 'deep chiptune']"
"4,5,6",harry gregson-williams,metal gear,outro 1,2Ft993NAjpq9v3ljhHrJtf,0.32799999999999996,0.409,4.0,-13.849,0.0,0.053,0.32799999999999996,0.882,0.249,0.0591,139.483,237593.0,4.0,3,"['british soundtrack', 'epicore', 'scorecore', 'soundtrack', 'video game music']"
"4,5,6",rihanna,what now,chorus,0aUWfpD3PlSv3FTTKcT2rN,0.551,0.7020000000000001,11.0,-4.77,1.0,0.0339,0.0514,0.0,0.599,0.193,90.074,243093.0,3.0,3,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']"
"4,5,6",tiesto - sneaky sound system,i will be here,instrumental,7MUS0La2IQ85vJ59fQqtoN,0.722,0.723,6.0,-5.188,0.0,0.0644,0.0162,1.6800000000000002e-05,0.0709,0.522,127.831,237067.0,4.0,3,"['big room', 'brostep', 'dance pop', 'edm', 'electro house', 'house', 'pop', 'trance', 'tropical house']"
"4,5,6",carrie underwood,cowboy casanova,chorus,6OqdF0vHI9xkqswI7EK0cD,0.597,0.82,5.0,-2.529,1.0,0.0582,0.0328,0.0,0.11900000000000001,0.5760000000000001,119.969,236787.0,4.0,3,"['contemporary country', 'country', 'country dawn', 'dance pop', 'pop', 'post-teen pop']"
"4,5,6",justin bieber,boyfriend,intro,2L7rZWg9RLxIwnysmxm4xk,0.7170000000000001,0.55,10.0,-6.019,0.0,0.0521,0.0358,0.00196,0.126,0.332,96.976,171333.0,4.0,3,"['canadian pop', 'dance pop', 'pop', 'post-teen pop']"
"4,5,6",tony igy,astronomia,chorus,49lWj0w12Bh4dUahFvptQc,0.818,0.759,2.0,-5.327000000000001,1.0,0.267,0.21,0.000325,0.24100000000000002,0.6409999999999999,126.081,201487.0,4.0,3,[]
"4,5,6",nine inch nails,hurt,pre-chorus and chorus,4pFnV6aV1bnEDqPDGBlrNp,0.485,0.193,11.0,-16.985,0.0,0.0322,0.6970000000000001,0.0262,0.135,0.079,79.926,373333.0,4.0,3,"['alternative metal', 'alternative rock', 'cyberpunk', 'industrial', 'industrial metal', 'industrial rock', 'modern rock', 'nu metal', 'post-grunge', 'rock']"
"4,5,6",bisbetic,feeling,chorus,3SKVu4b82OjKmrPUf6l41E,0.414,0.5660000000000001,11.0,-7.018,0.0,0.0374,0.00683,0.0,0.084,0.183,128.05,217487.0,4.0,3,"['big room', 'progressive electro house']"
"4,5,6",green day,minority,bridge,4qjfQnccStTR8zNsb6Mizo,0.551,0.965,0.0,-2.772,1.0,0.0452,0.00576,0.0,0.171,0.708,137.841,168227.0,4.0,3,"['permanent wave', 'pop punk', 'punk', 'rock']"
"4,5,6",adventure club,wonder,intro,6CLqpL8BvbUH6DI0kLumCR,0.655,0.809,7.0,-3.678,0.0,0.0334,0.0426,0.000505,0.28600000000000003,0.272,123.0,291225.0,4.0,3,"['brostep', 'chillstep', 'complextro', 'edm', 'electro house', 'electronic trap', 'filthstep']"
"4,5,6",adventure club,wonder,verse and pre-chorus,6CLqpL8BvbUH6DI0kLumCR,0.655,0.809,7.0,-3.678,0.0,0.0334,0.0426,0.000505,0.28600000000000003,0.272,123.0,291225.0,4.0,3,"['brostep', 'chillstep', 'complextro', 'edm', 'electro house', 'electronic trap', 'filthstep']"
"4,5,6",madeon,pay no mind,pre-chorus,3rsq3qtqNBId48c0IVraTS,0.546,0.852,1.0,-2.445,1.0,0.102,0.00592,0.0,0.159,0.5579999999999999,112.18299999999999,249440.0,4.0,3,"['big room', 'complextro', 'edm', 'electro house', 'electropop', 'filter house']"
"4,5,6",nine inch nails,just like you imagined,verse,184ImITRjcX2h1awZ4WVT1,0.478,0.76,10.0,-8.029,1.0,0.0397,0.00509,0.9209999999999999,0.0868,0.336,150.07399999999998,229867.0,5.0,3,"['alternative metal', 'alternative rock', 'cyberpunk', 'industrial', 'industrial metal', 'industrial rock', 'modern rock', 'nu metal', 'post-grunge', 'rock']"
"4,5,6",jack u,to u feat alunageorge,intro,3UgSQu6WwrXfKKDq019IHE,0.485,0.9279999999999999,10.0,-3.451,0.0,0.445,0.134,2.9199999999999998e-05,0.217,0.348,160.165,237000.0,4.0,3,"['edm', 'electro house', 'pop']"
"4,5,6",eric prydz,pjanoo,verse,0F2BxpbxH8Yc3pLub48hrb,0.604,0.8740000000000001,7.0,-4.949,0.0,0.0295,0.000563,0.812,0.11199999999999999,0.835,125.99,157432.0,4.0,3,"['big room', 'disco house', 'edm', 'electro house', 'house', 'progressive electro house', 'progressive house', 'vocal house']"
"4,5,6",arty,stronger,chorus,40IYwvYNbAtCpVIGFTAVBi,0.503,0.847,8.0,-5.487,1.0,0.0814,0.00909,0.191,0.11800000000000001,0.207,128.04399999999998,251240.0,4.0,3,"['big room', 'edm', 'electro house', 'progressive electro house', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
"4,5,6",avicii,waiting for love,verse,2P4OICZRVAQcYAV2JReRfj,0.579,0.736,6.0,-3.863,0.0,0.0527,0.31,0.0,0.198,0.613,127.999,230613.0,4.0,3,"['big room', 'dance pop', 'edm', 'pop']"
"4,5,6",michael sembello,maniac,intro,0QKfiqpEU4h9ycPSzIFwYe,0.617,0.5329999999999999,3.0,-11.515999999999998,0.0,0.0651,0.0891,4.04e-06,0.0415,0.835,158.86,244707.0,4.0,3,['hi-nrg']
"4,5,6",varius manx,piosenka ksiezycowa,chorus,05NKgpBkS8YiN1bqNfFwSW,0.507,0.19899999999999998,9.0,-12.568,0.0,0.0597,0.917,0.0,0.10300000000000001,0.182,105.12200000000001,241315.0,3.0,3,['polish pop']
"4,5,6",grouplove,shark attack,chorus,0i4ggi1qGPbr8OqaKBm5iY,0.449,0.635,1.0,-7.557,1.0,0.0397,0.000264,4.6500000000000005e-05,0.332,0.273,166.04,238627.0,4.0,3,"['indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'rock', 'stomp and holler']"
"4,5,6",sum 41,no reason,intro and verse,1lASDtTqKAfsnD6hixGKtz,0.45,0.9890000000000001,6.0,-3.234,1.0,0.0574,0.000275,0.0,0.872,0.455,97.96799999999999,184867.0,4.0,3,"['alternative metal', 'canadian punk', 'nu metal', 'pop punk', 'post-grunge', 'punk']"
"4,5,6",sufjan stevens,should have known better,outro,5I6y1KWmUoV5YCaIEcs1qs,0.5710000000000001,0.172,7.0,-20.7,1.0,0.0318,0.9790000000000001,0.275,0.124,0.297,90.97200000000001,307698.0,4.0,3,"['chamber pop', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'singer-songwriter', 'stomp and holler']"
"4,5,6",bonobo,flutter,bridge,118jpM7D5hnAEYJ6EzEY3G,0.602,0.695,9.0,-6.926,0.0,0.0281,0.00464,0.43,0.0888,0.733,103.00200000000001,284947.0,4.0,3,"['downtempo', 'electronic', 'indietronica', 'ninja', 'nu jazz', 'trip hop']"
"4,5,6",the living end,west end riot,chorus,56X1106MCLMjHhBF4qPEwk,0.426,0.966,4.0,-4.518,0.0,0.0568,0.0293,2.02e-05,0.23399999999999999,0.54,96.064,230307.0,4.0,3,"['australian alternative rock', 'australian rock', 'australian ska', 'punk', 'skate punk']"
"4,5,6",toby fox,undertale,intro,02lsfhthNFGv3zt9XpfKEd,0.552,0.41100000000000003,0.0,-14.794,0.0,0.0241,0.039,0.804,0.152,0.36700000000000005,101.93299999999999,381536.0,4.0,3,['otacore']
"4,5,6",melodysheep,magically delicious,pre-chorus and chorus,0rTevlwZACEYgCnynC9fzN,0.5429999999999999,0.879,1.0,-5.654,1.0,0.299,0.122,0.0,0.12,0.6459999999999999,182.033,135824.0,4.0,3,['downtempo fusion']
"4,5,6",bastille,oblivion,pre-chorus,6ZeQp2XTOiPCePWRfCHSo5,0.42200000000000004,0.321,5.0,-8.952,1.0,0.0294,0.76,2.33e-06,0.429,0.28,78.533,196347.0,4.0,3,"['metropopolis', 'modern rock', 'pop']"
"4,5,6",oh land,helicopter,bridge,6yERZtC8li2SZWh2SkTl7W,0.625,0.466,1.0,-8.958,1.0,0.0503,0.361,0.0151,0.151,0.488,89.995,211293.0,4.0,3,"['electropop', 'indietronica', 'metropopolis']"
"4,5,6",clean bandit,stronger,chorus,6cIGKs4Y33jby1ZbRXIpnV,0.722,0.779,7.0,-4.67,1.0,0.0447,0.0135,0.00018600000000000002,0.0767,0.8220000000000001,125.03,221467.0,4.0,3,"['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house', 'uk funky']"
"4,5,6",avicii,waiting for love,intro,2P4OICZRVAQcYAV2JReRfj,0.579,0.736,6.0,-3.863,0.0,0.0527,0.31,0.0,0.198,0.613,127.999,230613.0,4.0,3,"['big room', 'dance pop', 'edm', 'pop']"
"4,5,6",they might be giants,experimental film,solo,4Q9fKe4b63AzmCRf5YtZdc,0.581,0.6629999999999999,7.0,-5.127999999999999,1.0,0.0313,0.005679999999999999,0.0,0.0688,0.757,132.861,176880.0,4.0,3,"['alternative rock', 'comic', 'geek rock', 'permanent wave', 'pop rock', 'zolo']"
"4,5,6",twenty one pilots,tear in my heart,chorus,3bnVBN67NBEzedqQuWrpP4,0.655,0.632,2.0,-4.802,1.0,0.0489,0.0189,0.0,0.0722,0.447,120.113,188493.0,4.0,3,"['pop punk', 'rock']"
"4,5,6",the bird and the bee,will you dance,chorus,12qd7V0ItNfQmhQAi8Chxm,0.71,0.8440000000000001,5.0,-4.218,1.0,0.0416,0.027999999999999997,0.0305,0.23800000000000002,0.818,107.977,215160.0,4.0,3,"['folk-pop', 'indie pop', 'la indie']"
"4,5,6",morandi,colors,bridge,7bGMCRXXHhH3nl83sIHmpl,0.6809999999999999,0.6779999999999999,10.0,-6.444,0.0,0.0402,0.22699999999999998,0.000408,0.318,0.597,127.99700000000001,243827.0,4.0,3,"['europop', 'romanian pop']"
"4,5,6",deco 27,streaming heart,pre-chorus,322kT9nvEyAe0mTb4fPpYH,0.612,0.888,1.0,-10.697000000000001,1.0,0.0752,0.00179,0.0272,0.33899999999999997,0.7290000000000001,105.016,181118.0,4.0,3,"['anime', 'anime rock', 'j-division', 'otacore', 'vocaloid']"
